out	asmid	species	strain	locustag	busco	hlen	table	genome_fa
GCA_030246685.1_ASM3024668v1	GCA_030246685.1_ASM3024668v1	Agaricus bitorquis	BH01	F8F2286A	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030246685.1_ASM3024668v1.fa.gz
GCA_029719445.1_ASM2971944v1	GCA_029719445.1_ASM2971944v1	Agaricus blazei	JA-15036	FF9D1BC6	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_029719445.1_ASM2971944v1.fa.gz
GCA_022315185.1_ASM2231518v1	GCA_022315185.1_ASM2231518v1	Agaricus sinodeliciosus	ZRL20160001-S65	FA5C54A1	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_022315185.1_ASM2231518v1.fa.gz
GCA_029945375.1_Asub-V01	GCA_029945375.1_Asub-V01	Agaricus subrufescens	ABL 49	F50AC181	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_029945375.1_Asub-V01.fa.gz
GCA_041475395.1_ASM4147539v1	GCA_041475395.1_ASM4147539v1	Agroathelia delphinii	SD	F05F955B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_041475395.1_ASM4147539v1.fa.gz
GCA_036172465.1_UNINA_Arolf_CCF1	GCA_036172465.1_UNINA_Arolf_CCF1	Agroathelia rolfsii	CCF1	F9A7AB2E	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_036172465.1_UNINA_Arolf_CCF1.fa.gz
GCA_018343915.1_ASM1834391v1	GCA_018343915.1_ASM1834391v1	Agroathelia rolfsii	GP3	FD80AAA3	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_018343915.1_ASM1834391v1.fa.gz
GCA_052928445.1_ASM5292844v1	GCA_052928445.1_ASM5292844v1	Agroathelia rolfsii	LC-1	F2E397F8	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_052928445.1_ASM5292844v1.fa.gz
GCA_000961905.2_AthRolfv2.0	GCA_000961905.2_AthRolfv2.0	Agroathelia rolfsii	MR10	F49E3615	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_000961905.2_AthRolfv2.0.fa.gz
GCA_002940785.1_ASM294078v1	GCA_002940785.1_ASM294078v1	Agroathelia rolfsii	Sr-RCBB	F389213C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_002940785.1_ASM294078v1.fa.gz
GCA_018343895.1_ASM1834389v1	GCA_018343895.1_ASM1834389v1	Agroathelia rolfsii	ZY	F7CB2411	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_018343895.1_ASM1834389v1.fa.gz
